match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version
3857276,2022-12-01,17:00:00.000,1,2,available,available,2023-03-18T21:14:12.434943,2023-05-29T20:30:36.467703,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,1833,Canada,male,F,40,Canada,788,Morocco,male,F,154,Morocco,10,Group Stage,1000838,Al Thumama Stadium,185,Qatar,2638.0,Raphael Claus,31.0,Brazil,John Herdman,Walid Regragui,4435,John Herdman,,1975-07-19,68,England,1000518,Walid Regragui,,1975-09-23,154,Morocco,1.1.0,2,2
3857275,2022-11-30,17:00:00.000,1,0,available,available,2023-03-18T23:34:23.958010,2023-04-26T23:57:14.658536,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,777,Tunisia,male,D,232,Tunisia,771,France,male,D,78,France,10,Group Stage,94425,Education City Stadium ,185,Qatar,739.0,Matthew Conger,163.0,New Zealand,Jalel Kadri,Didier Deschamps,1001303,Jalel Kadri,,,232,Tunisia,545,Didier Deschamps,,1968-10-15,78,France,1.1.0,2,2
3857274,2022-11-25,18:00:00.000,1,1,available,available,2023-02-08T14:47:43.378381,2023-04-27T00:32:27.606676,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,941,Netherlands,male,A,160,Netherlands,3565,Ecuador,male,A,65,Ecuador,10,Group Stage,1000253,Sheikh Khalifa International Stadium,185,Qatar,2311.0,Mustapha Ghorbal,4.0,Algeria,Louis van Gaal,Gustavo Julio Alfaro,788,Louis van Gaal,,1951-08-08,160,Netherlands,2881,Gustavo Julio Alfaro,Gustavo Alfaro,1962-08-14,11,Argentina,1.1.0,2,2
3857273,2022-11-25,12:00:00.000,0,2,available,available,2023-03-30T20:20:27.964943,2023-05-14T18:53:04.804401,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,907,Wales,male,B,249,Wales,797,Iran,male,B,107,"Iran, Islamic Republic of",10,Group Stage,1000793,Ahmad bin Ali Stadium,185,Qatar,1835.0,Mario Alberto Escobar Toca,93.0,Guatemala,Robert Page,Carlos Manuel Brito Leal Queiróz,1000471,Robert Page,,1974-09-03,249,Wales,645,Carlos Manuel Brito Leal Queiróz,Carlos Queiroz,1953-03-01,183,Portugal,1.1.0,2,2
3857272,2022-11-25,21:00:00.000,0,0,available,available,2022-12-02T07:56:28.791940,2022-12-08T05:22:48.650006,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,768,England,male,B,68,England,1839,United States,male,B,241,United States of America,10,Group Stage,1001113,Al Bayt Stadium,185,Qatar,1847.0,Jesús Valenzuela Sáez,246.0,Venezuela (Bolivarian Republic),Gareth Southgate,Gregg Berhalter,277,Gareth Southgate,,1970-09-03,68,England,93,Gregg Berhalter,,1973-08-01,241,United States of America,1.1.0,2,2
3857271,2022-11-21,15:00:00.000,6,2,available,available,2023-06-07T18:13:08.086293,2023-06-18T15:37:14.539174,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,768,England,male,B,68,England,797,Iran,male,B,107,"Iran, Islamic Republic of",10,Group Stage,1000253,Sheikh Khalifa International Stadium,185,Qatar,2638.0,Raphael Claus,31.0,Brazil,Gareth Southgate,Carlos Manuel Brito Leal Queiróz,277,Gareth Southgate,,1970-09-03,68,England,645,Carlos Manuel Brito Leal Queiróz,Carlos Queiroz,1953-03-01,183,Portugal,1.1.0,2,2
3857268,2022-11-23,21:00:00.000,1,0,available,available,2023-08-12T16:44:27.619465,2023-08-12T16:48:09.197442,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,782,Belgium,male,F,22,Belgium,1833,Canada,male,F,40,Canada,10,Group Stage,1000793,Ahmad bin Ali Stadium,185,Qatar,743.0,Janny Sikazwe,253.0,Zambia,Roberto Martínez Montoliú,John Herdman,263,Roberto Martínez Montoliú,Roberto Martínez,1973-07-13,214,Spain,4435,John Herdman,,1975-07-19,68,England,1.1.0,2,2
3857265,2022-11-22,18:00:00.000,0,0,available,available,2023-04-19T06:53:07.045195,2023-04-27T00:49:30.005344,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,794,Mexico,male,C,147,Mexico,789,Poland,male,C,182,Poland,10,Group Stage,1001115,Stadium 974,185,Qatar,1701.0,Chris Beath,14.0,Australia,Gerardo Daniel Martino,Czesław Michniewicz,163,Gerardo Daniel Martino,Gerardo Martino,1962-11-20,11,Argentina,5294,Czesław Michniewicz,,1970-02-12,182,Poland,1.1.0,2,2
3857262,2022-12-02,17:00:00.000,2,1,available,available,2023-03-17T22:58:19.035038,2023-04-26T23:48:08.999798,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,791,South Korea,male,H,121,Korea (South),780,Portugal,male,H,183,Portugal,10,Group Stage,94425,Education City Stadium ,185,Qatar,1094.0,Facundo Tello Figueroa,11.0,Argentina,Paulo Jorge Gomes Bento,Fernando Manuel Fernandes da Costa Santos,5688,Paulo Jorge Gomes Bento,Paulo Bento,1969-06-20,183,Portugal,607,Fernando Manuel Fernandes da Costa Santos,Fernando Santos,1954-10-10,183,Portugal,1.1.0,2,2
3857261,2022-11-29,21:00:00.000,0,3,available,available,2023-03-27T07:45:00.892102,2023-04-27T00:02:44.241621,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,907,Wales,male,B,249,Wales,768,England,male,B,68,England,10,Group Stage,1000793,Ahmad bin Ali Stadium,185,Qatar,943.0,Slavko Vinčić,208.0,Slovenia,Robert Page,Gareth Southgate,1000471,Robert Page,,1974-09-03,249,Wales,277,Gareth Southgate,,1970-09-03,68,England,1.1.0,2,2
3857255,2022-12-01,21:00:00.000,2,1,available,available,2023-03-30T12:03:47.965683,2023-04-26T23:51:48.352990,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,778,Japan,male,E,114,Japan,772,Spain,male,E,214,Spain,10,Group Stage,1000253,Sheikh Khalifa International Stadium,185,Qatar,2366.0,Victor Miguel de Freitas Gomes,211.0,South Africa,Hajime Moriyasu,Luis Enrique Martínez García,5699,Hajime Moriyasu,,1968-08-23,114,Japan,793,Luis Enrique Martínez García,Luis Enrique,1970-05-08,214,Spain,1.1.0,2,2
3857254,2022-11-22,15:00:00.000,0,0,available,available,2023-07-29T19:43:11.994339,2023-07-29T19:44:56.738444,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,776,Denmark,male,D,61,Denmark,777,Tunisia,male,D,232,Tunisia,10,Group Stage,94425,Education City Stadium ,185,Qatar,740.0,César Arturo Ramos Palazuelos,147.0,Mexico,Kasper Hjulmand,Jalel Kadri,255,Kasper Hjulmand,,1972-04-09,61,Denmark,1001303,Jalel Kadri,,,232,Tunisia,1.1.0,2,2
